epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,594.395,1.31163,2.51891,0.97549,1.36792,0.84008,0.82569,0.85206,0.54987,0.84694,0.8318,0.8597,0.45356,1.2227,2.13623,0.87042,1.33029,0.0008945,0.0008945,0.0008945
69,602.794,1.29953,2.55212,0.94228,1.37842,0.84008,0.82569,0.85206,0.54987,0.84694,0.8318,0.8597,0.45356,1.2227,2.13623,0.87042,1.33029,0.000878,0.000878,0.000878
70,612.318,1.27346,2.50782,0.93486,1.35672,0.8335,0.82875,0.86127,0.53344,0.85957,0.82263,0.86478,0.45103,1.23725,2.17334,0.88338,1.32713,0.0008615,0.0008615,0.0008615
71,620.882,1.31993,2.62578,0.97033,1.38311,0.86408,0.81652,0.87394,0.53369,0.86084,0.81346,0.86702,0.46087,1.22434,2.13424,0.89584,1.31273,0.000845,0.000845,0.000845
72,629.231,1.30328,2.54049,0.95541,1.38398,0.86502,0.82308,0.87638,0.54587,0.86667,0.81957,0.8654,0.4591,1.19138,2.07207,0.88575,1.30146,0.0008285,0.0008285,0.0008285
73,637.754,1.26603,2.56011,0.94503,1.37134,0.88105,0.81346,0.88012,0.55271,0.87774,0.8104,0.8724,0.46235,1.1958,2.04027,0.87225,1.30773,0.000812,0.000812,0.000812
74,646.21,1.32775,2.61397,0.97394,1.40634,0.86369,0.82569,0.88108,0.55077,0.86316,0.81019,0.87004,0.46814,1.18777,2.02015,0.8429,1.30272,0.0007955,0.0007955,0.0007955
75,654.633,1.27222,2.54759,0.92013,1.36214,0.86873,0.8318,0.87817,0.54123,0.87006,0.82875,0.86999,0.45037,1.22531,2.05072,0.8316,1.32188,0.000779,0.000779,0.000779
76,663.173,1.30197,2.52218,0.90595,1.35092,0.89163,0.81346,0.87479,0.53956,0.88609,0.80734,0.8615,0.44553,1.21228,2.05669,0.84339,1.31716,0.0007625,0.0007625,0.0007625
77,671.525,1.29105,2.5151,0.93034,1.36747,0.89163,0.81346,0.87479,0.53956,0.88609,0.80734,0.8615,0.44553,1.21228,2.05669,0.84339,1.31716,0.000746,0.000746,0.000746
78,679.985,1.32718,2.62204,0.95905,1.41651,0.90197,0.81651,0.8794,0.55917,0.90197,0.81651,0.87581,0.46729,1.18017,2.03369,0.84048,1.29435,0.0007295,0.0007295,0.0007295
79,688.575,1.32446,2.60828,0.97739,1.40698,0.89509,0.81346,0.88913,0.56093,0.89015,0.80734,0.87958,0.4772,1.2186,2.04028,0.85049,1.31238,0.000713,0.000713,0.000713
80,696.998,1.28925,2.56807,0.94647,1.38686,0.88874,0.82569,0.88914,0.55825,0.87946,0.81957,0.88282,0.47937,1.22763,2.03333,0.84259,1.29876,0.0006965,0.0006965,0.0006965
81,705.338,1.2535,2.52352,0.90804,1.35157,0.8733,0.82205,0.87928,0.5543,0.88053,0.81144,0.87937,0.46899,1.20346,2.06389,0.8394,1.29251,0.00068,0.00068,0.00068
82,713.795,1.27101,2.47914,0.93361,1.35748,0.85951,0.82323,0.87362,0.55859,0.85918,0.8104,0.86775,0.46577,1.17471,2.08135,0.85143,1.29097,0.0006635,0.0006635,0.0006635
83,722.295,1.27605,2.51162,0.96314,1.34608,0.8329,0.84098,0.87029,0.56297,0.8429,0.81651,0.85198,0.4656,1.14852,2.04736,0.842,1.28113,0.000647,0.000647,0.000647
84,730.716,1.27712,2.5626,0.9543,1.39292,0.84933,0.82745,0.8789,0.57082,0.84605,0.82353,0.8703,0.47498,1.15639,2.01759,0.82183,1.27798,0.0006305,0.0006305,0.0006305
85,739.28,1.28715,2.5513,0.94806,1.38988,0.84933,0.82745,0.8789,0.57082,0.84605,0.82353,0.8703,0.47498,1.15639,2.01759,0.82183,1.27798,0.000614,0.000614,0.000614
86,748.053,1.27812,2.52521,0.93135,1.35687,0.88619,0.82569,0.88598,0.57868,0.88914,0.82263,0.87757,0.48182,1.16942,2.0207,0.80929,1.28085,0.0005975,0.0005975,0.0005975
87,756.676,1.24228,2.45108,0.88595,1.33585,0.87934,0.8318,0.87709,0.56911,0.87787,0.83792,0.87209,0.48166,1.19081,2.02935,0.81305,1.29572,0.000581,0.000581,0.000581
88,765.066,1.30881,2.57691,0.96666,1.40701,0.85681,0.82569,0.87314,0.56717,0.85695,0.82875,0.8689,0.48288,1.1763,2.01912,0.82003,1.29206,0.0005645,0.0005645,0.0005645
89,773.453,1.26733,2.50165,0.92566,1.3692,0.85675,0.84134,0.88143,0.5776,0.85693,0.84258,0.87972,0.48669,1.16005,2.00175,0.81793,1.285,0.000548,0.000548,0.000548
90,782.341,1.24553,2.42591,0.91686,1.34566,0.87399,0.83486,0.88626,0.56858,0.86438,0.82569,0.87577,0.49261,1.19332,1.98585,0.80775,1.30074,0.0005315,0.0005315,0.0005315
91,790.919,1.27061,2.46206,0.92351,1.36949,0.87119,0.8273,0.88365,0.57035,0.89189,0.80733,0.88067,0.50198,1.18675,1.99189,0.80351,1.29471,0.000515,0.000515,0.000515
92,799.743,1.28165,2.53225,0.95526,1.39078,0.87183,0.82875,0.88403,0.57367,0.87005,0.83792,0.88374,0.50448,1.1823,2.0008,0.79885,1.28182,0.0004985,0.0004985,0.0004985
93,808.731,1.27195,2.50867,0.92729,1.35219,0.87183,0.82875,0.88403,0.57367,0.87005,0.83792,0.88374,0.50448,1.1823,2.0008,0.79885,1.28182,0.000482,0.000482,0.000482
94,817.749,1.2527,2.47595,0.89647,1.34469,0.85742,0.82759,0.87798,0.5699,0.86028,0.8318,0.87163,0.49249,1.18746,1.98803,0.80738,1.29237,0.0004655,0.0004655,0.0004655
95,826.359,1.25661,2.46039,0.89712,1.33139,0.86289,0.8318,0.87654,0.56391,0.86606,0.83486,0.87786,0.48491,1.18688,1.98589,0.81063,1.29064,0.000449,0.000449,0.000449
96,834.775,1.23126,2.4464,0.89264,1.32255,0.86013,0.84628,0.8756,0.57045,0.86635,0.85239,0.86668,0.47636,1.17823,1.97931,0.80143,1.27621,0.0004325,0.0004325,0.0004325
97,843.124,1.21422,2.40983,0.88722,1.32612,0.86524,0.85321,0.87607,0.56595,0.87454,0.86239,0.87766,0.47293,1.17951,1.99298,0.80927,1.27318,0.000416,0.000416,0.000416
98,851.514,1.25769,2.46965,0.9187,1.35066,0.86864,0.84404,0.88344,0.578,0.88053,0.8565,0.88997,0.47899,1.16373,2.00526,0.80943,1.26471,0.0003995,0.0003995,0.0003995
99,859.921,1.22769,2.43401,0.87213,1.3203,0.87923,0.82378,0.88328,0.58076,0.88506,0.82417,0.88805,0.48867,1.15703,1.99429,0.80701,1.26104,0.000383,0.000383,0.000383
100,868.163,1.16782,2.38609,0.84888,1.28065,0.87393,0.8318,0.88836,0.58864,0.89266,0.82569,0.88715,0.49584,1.1518,1.96578,0.8055,1.25742,0.0003665,0.0003665,0.0003665
101,876.686,1.17016,2.36145,0.84096,1.30004,0.87393,0.8318,0.88836,0.58864,0.89266,0.82569,0.88715,0.49584,1.1518,1.96578,0.8055,1.25742,0.00035,0.00035,0.00035
102,885.438,1.20835,2.40478,0.85479,1.29891,0.86197,0.84025,0.88616,0.59168,0.87118,0.8479,0.89255,0.50196,1.14214,1.9505,0.79963,1.25256,0.0003335,0.0003335,0.0003335
103,894.25,1.26087,2.50034,0.91945,1.35735,0.8679,0.84387,0.88396,0.59508,0.87727,0.85252,0.89466,0.50888,1.13557,1.92859,0.79469,1.2489,0.000317,0.000317,0.000317
104,902.917,1.24326,2.41712,0.87116,1.33832,0.85375,0.83905,0.88314,0.59253,0.8648,0.85933,0.89594,0.50768,1.14061,1.93193,0.78995,1.25551,0.0003005,0.0003005,0.0003005
105,911.192,1.24658,2.44345,0.89288,1.33913,0.86332,0.84991,0.88271,0.58811,0.87182,0.85281,0.89149,0.50177,1.13819,1.93993,0.78151,1.25911,0.000284,0.000284,0.000284
106,919.824,1.20488,2.35801,0.82878,1.29601,0.87785,0.83514,0.88754,0.59275,0.87861,0.83486,0.88818,0.49898,1.13217,1.94746,0.77993,1.2586,0.0002675,0.0002675,0.0002675
107,928.055,1.22417,2.41873,0.9071,1.34813,0.8966,0.84852,0.89156,0.58749,0.88778,0.83486,0.88823,0.49679,1.13639,1.95224,0.77754,1.25942,0.000251,0.000251,0.000251
108,936.495,1.22897,2.45307,0.89668,1.35105,0.89554,0.84709,0.89235,0.59377,0.89008,0.84193,0.89274,0.49884,1.13412,1.93594,0.77278,1.25264,0.0002345,0.0002345,0.0002345
109,944.834,1.25755,2.50724,0.91368,1.35859,0.89554,0.84709,0.89235,0.59377,0.89008,0.84193,0.89274,0.49884,1.13412,1.93594,0.77278,1.25264,0.000218,0.000218,0.000218
110,953.051,1.17105,2.33623,0.8339,1.28826,0.89772,0.84404,0.89346,0.59466,0.89447,0.84098,0.89323,0.50605,1.12807,1.92859,0.76692,1.25082,0.0002015,0.0002015,0.0002015
111,981.849,1.10997,2.28225,0.82215,1.27603,0.87981,0.8507,0.8944,0.59647,0.89992,0.84709,0.89727,0.50476,1.12037,1.91628,0.76477,1.24876,0.000185,0.000185,0.000185
112,989.801,1.10039,2.27761,0.82047,1.25947,0.87291,0.85627,0.89264,0.59905,0.87953,0.84845,0.89477,0.50701,1.11664,1.90919,0.77257,1.24688,0.0001685,0.0001685,0.0001685
113,998.007,1.08717,2.27062,0.82332,1.27049,0.87446,0.85208,0.88935,0.59295,0.88532,0.83792,0.89137,0.50658,1.1198,1.91613,0.77268,1.24875,0.000152,0.000152,0.000152
114,1005.95,1.09091,2.24519,0.81709,1.25134,0.87783,0.84098,0.88845,0.58909,0.89696,0.84098,0.891,0.50543,1.12842,1.91207,0.7785,1.25648,0.0001355,0.0001355,0.0001355
115,1013.94,1.05101,2.18772,0.78165,1.21374,0.87621,0.83792,0.88823,0.58775,0.88106,0.8382,0.89112,0.50186,1.13411,1.90858,0.78373,1.26007,0.000119,0.000119,0.000119
116,1021.94,1.10673,2.21431,0.79418,1.26006,0.87639,0.84561,0.8864,0.5857,0.88224,0.84772,0.89266,0.50129,1.13592,1.90693,0.77922,1.26164,0.0001025,0.0001025,0.0001025
117,1029.83,1.10136,2.25697,0.79054,1.25895,0.87639,0.84561,0.8864,0.5857,0.88224,0.84772,0.89266,0.50129,1.13592,1.90693,0.77922,1.26164,8.6e-05,8.6e-05,8.6e-05
118,1037.82,1.0594,2.19877,0.77672,1.24073,0.88724,0.84221,0.88851,0.58429,0.89067,0.83792,0.89031,0.50334,1.13817,1.9077,0.77868,1.26231,6.95e-05,6.95e-05,6.95e-05
119,1045.84,1.08031,2.21735,0.78731,1.24098,0.88933,0.83551,0.88983,0.58634,0.88944,0.8318,0.88826,0.50415,1.13377,1.91083,0.77434,1.25863,5.3e-05,5.3e-05,5.3e-05
120,1053.8,1.08015,2.21534,0.78686,1.24887,0.88441,0.84404,0.88859,0.58722,0.89541,0.85321,0.89016,0.50618,1.13168,1.90548,0.77164,1.2579,3.65e-05,3.65e-05,3.65e-05
