epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3583.33,0.57286,0.8627,0.5371,0.97549,0.88571,0.88227,0.9418,0.83042,0.90909,0.86848,0.92886,0.65437,0.46942,0.62773,0.43039,0.90273,0.0005645,0.0005645,0.0005645
89,3623.58,0.58396,0.8647,0.53122,0.9787,0.88262,0.87676,0.94217,0.843,0.89155,0.87804,0.93038,0.68158,0.43347,0.60073,0.4292,0.89498,0.000548,0.000548,0.000548
90,3664.76,0.55854,0.82881,0.51544,0.95593,0.89175,0.86972,0.94361,0.84466,0.91188,0.86231,0.92836,0.67413,0.43954,0.6028,0.42964,0.89561,0.0005315,0.0005315,0.0005315
91,3705.23,0.56823,0.85237,0.52287,0.97142,0.90474,0.85834,0.93811,0.84003,0.92272,0.84082,0.92648,0.67154,0.43413,0.6184,0.43371,0.89746,0.000515,0.000515,0.000515
92,3745.54,0.58665,0.88043,0.52286,0.97464,0.872,0.86355,0.92808,0.81294,0.87449,0.8587,0.91483,0.6591,0.4745,0.6703,0.47343,0.91195,0.0004985,0.0004985,0.0004985
93,3785.93,0.54838,0.829,0.51639,0.96014,0.89789,0.87441,0.94209,0.83263,0.90144,0.87441,0.92694,0.65913,0.46332,0.62036,0.43166,0.89771,0.000482,0.000482,0.000482
94,3826.28,0.56275,0.84357,0.50629,0.97256,0.88787,0.88146,0.94537,0.83672,0.90959,0.85681,0.92415,0.66451,0.45572,0.61029,0.42703,0.89852,0.0004655,0.0004655,0.0004655
95,3866.66,0.5368,0.79118,0.4859,0.94134,0.87182,0.87817,0.93656,0.83129,0.88712,0.87911,0.9238,0.6699,0.45611,0.61033,0.4594,0.90255,0.000449,0.000449,0.000449
96,3906.88,0.55635,0.83254,0.52187,0.96851,0.88301,0.88588,0.94433,0.84594,0.88338,0.8802,0.92917,0.67542,0.43898,0.61604,0.4358,0.89193,0.0004325,0.0004325,0.0004325
97,3947.34,0.54249,0.81271,0.49386,0.95255,0.88887,0.88732,0.94209,0.84533,0.89237,0.87583,0.92849,0.68252,0.43524,0.602,0.43004,0.89072,0.000416,0.000416,0.000416
98,3988.85,0.60722,0.94945,0.54892,1.00046,0.8814,0.88099,0.94224,0.84695,0.89427,0.87359,0.9311,0.69361,0.44413,0.59026,0.4165,0.89564,0.0003995,0.0003995,0.0003995
99,4030.3,0.55743,0.84959,0.51821,0.97578,0.89114,0.8838,0.93967,0.84395,0.89259,0.8778,0.92859,0.6793,0.42793,0.59869,0.4305,0.89432,0.000383,0.000383,0.000383
100,4071.03,0.58125,0.87088,0.52085,0.97026,0.88616,0.88263,0.94315,0.84665,0.88932,0.8662,0.92526,0.66262,0.43985,0.62099,0.4236,0.89611,0.0003665,0.0003665,0.0003665
