epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1476.94,0.64025,0.97044,0.59352,0.96755,0.89112,0.86854,0.93617,0.81624,0.9108,0.86285,0.92139,0.65836,0.50446,0.66761,0.46357,0.87476,0.000845,0.000845,0.000845
72,1497.62,0.62372,0.97125,0.56994,0.95926,0.88113,0.83803,0.92514,0.80421,0.8809,0.86811,0.92733,0.67382,0.50568,0.69695,0.4966,0.88562,0.0008285,0.0008285,0.0008285
73,1518.4,0.65647,1.0063,0.59478,0.97232,0.88578,0.85564,0.93125,0.82126,0.9061,0.86737,0.9287,0.66986,0.49058,0.65345,0.46047,0.88053,0.000812,0.000812,0.000812
74,1538.78,0.60658,0.94113,0.57425,0.96078,0.89261,0.86502,0.93695,0.82916,0.9128,0.87233,0.93166,0.68304,0.46657,0.63613,0.44575,0.87312,0.0007955,0.0007955,0.0007955
75,1559.25,0.60962,0.9465,0.57493,0.94956,0.92381,0.85387,0.94559,0.83318,0.91822,0.85655,0.93222,0.67966,0.47792,0.62192,0.44133,0.86304,0.000779,0.000779,0.000779
76,1579.94,0.62123,0.96919,0.56603,0.96114,0.90464,0.87324,0.94292,0.83176,0.92178,0.87141,0.93873,0.68841,0.47927,0.62946,0.44397,0.86085,0.0007625,0.0007625,0.0007625
77,1600.85,0.66905,1.03953,0.60058,0.97887,0.87939,0.88148,0.93888,0.83297,0.90201,0.88263,0.93624,0.69014,0.46404,0.62387,0.44776,0.86872,0.000746,0.000746,0.000746
78,1621.27,0.63479,0.96564,0.57902,0.96817,0.88713,0.85793,0.93768,0.81923,0.9012,0.8662,0.92766,0.66587,0.49237,0.64794,0.46318,0.8762,0.0007295,0.0007295,0.0007295
79,1641.7,0.61096,0.90553,0.55967,0.96159,0.8498,0.90977,0.94007,0.83213,0.89996,0.8764,0.93413,0.7026,0.46863,0.62343,0.45188,0.87192,0.000713,0.000713,0.000713
80,1662.71,0.65741,1.0128,0.60026,0.97612,0.88869,0.86211,0.93927,0.81982,0.90248,0.86268,0.92767,0.65765,0.50309,0.6527,0.46278,0.86614,0.0006965,0.0006965,0.0006965
81,1683.38,0.64024,0.98895,0.59016,0.96695,0.84222,0.88338,0.93601,0.82793,0.86245,0.89437,0.93017,0.68005,0.45896,0.62669,0.46028,0.86623,0.00068,0.00068,0.00068
82,1704.04,0.63526,0.96165,0.59221,0.96529,0.87568,0.8615,0.93501,0.8279,0.9142,0.85042,0.93086,0.69213,0.46091,0.62465,0.45641,0.86513,0.0006635,0.0006635,0.0006635
83,1724.49,0.5779,0.88705,0.55418,0.93636,0.88899,0.86474,0.93921,0.83593,0.90006,0.86673,0.93483,0.67399,0.45237,0.61093,0.4418,0.86157,0.000647,0.000647,0.000647
84,1744.95,0.61233,0.93081,0.56416,0.95655,0.90351,0.84977,0.93951,0.82517,0.91098,0.85915,0.93464,0.67628,0.4774,0.61673,0.44957,0.8655,0.0006305,0.0006305,0.0006305
85,1765.57,0.6238,0.95481,0.57453,0.96081,0.88631,0.85681,0.93496,0.82736,0.89818,0.86385,0.92873,0.67245,0.46347,0.62462,0.46346,0.86976,0.000614,0.000614,0.000614
86,1786.19,0.59335,0.89411,0.5661,0.94781,0.88744,0.85681,0.93793,0.82881,0.90802,0.85743,0.93065,0.6723,0.47546,0.62931,0.45693,0.86439,0.0005975,0.0005975,0.0005975
87,1806.72,0.5989,0.90502,0.56532,0.94487,0.87713,0.88263,0.94142,0.83567,0.88493,0.87793,0.93425,0.6811,0.45413,0.61907,0.43978,0.85984,0.000581,0.000581,0.000581
